radio choice,Foundation,0
1,mudmatFoundationOnly,true,false,false
2,pileGroupOnly,false,true,false
3,hybridPiledMudmat,false,false,true
Main Fields:
Characteristic Soil Shear Strength,s_um,0.5,0.5,0.5
Characteristic Soil Shear Strength,k,1,1,1
Characteristic Soil Shear Strength,gam_dash,5,5,5
Characteristic Loads and Eccentricities,V_c,600,600,600
Characteristic Loads and Eccentricities,e_xV,0,0,0
Characteristic Loads and Eccentricities,e_yV,0,0,0
Characteristic Loads and Eccentricities,H_xc,50,50,50
Characteristic Loads and Eccentricities,e_yHx,2,2,2
Characteristic Loads and Eccentricities,e_zHx,5,5,5
Characteristic Loads and Eccentricities,H_yc,90,90,90
Characteristic Loads and Eccentricities,e_xHy,3,3,3
Characteristic Loads and Eccentricities,e_zHy,5,5,5
Relative Loads Taken By Piles,beta_pV,0.332,0.332,0.332
Relative Loads Taken By Piles,beta_pH,0.776,0.776,0.747
Relative Loads Taken By Piles,beta_pM,0.487,0.478,0.287
Load and Material Factors,lambda_V,1.1,1.1,1.1
Load and Material Factors,lambda_H,1.35,1.35,1.35
Load and Material Factors,lambda_s,1.25,1.25,1.25
Mudmat Geometry,B,7.5,7.5,7.5
Mudmat Geometry,BoverL,0.5,0.5,0.5
Mudmat Geometry,doverB,0.081,0.081,0.081
Skirt-soil Interaction,alpha_skirt,1,1,1
Pile Group Geometry,D_pile,0.9,0.9,0.9
Pile Group Geometry,W_pile,40,40,40
Pile Group Geometry,B_piles,6,6,6
Pile Group Geometry,L_piles,13,13,13
Pile Group Geometry,L_embed,9,9,9
Pile Group Geometry,d_shadow_over_d,1,1,1
Pile-soil Interaction,alpha_piles,1,1,1
Pile-soil Interaction,Nc_piles,9,9,9
Pile-soil Interaction,f_end_t,0,0,0
Mat,L,15,15,15
Mat,d_skirt,0.6075,0.6075,0.6075
Mat,A,112.5,112.5,112.5
Mat,s_u0,0.8859999999999999,0.8859999999999999,0.8859999999999999
Mat,kappa,6.772009029345373,6.772009029345373,6.772009029345373
Pile,L_embed_overB_piles,1.5,1.5,1.5
Pile,d_shadow,0.6075,0.6075,0.6075
Pile,theta_piles,1.1383885512243588,1.1383885512243588,1.1383885512243588
Pile,theta_piles_degrees,65.22485943116808,65.22485943116808,65.22485943116808
Pile,s_u_pavg,4.243,4.243,4.243
Pile,s_u_ptip,7.6,7.6,7.6
